photo_id,query,unsplash_url,clip_sim,mean_h,mean_s,mean_v,sat_std,val_std,contrast,hue_hist_0,hue_hist_1,hue_hist_2,hue_hist_3
Flxl7OUuO1M,black and white monochrome photography,https://unsplash.com/photos/body-of-water-near-trees-under-cloudy-sky-Flxl7OUuO1M,0.28813648223876953,0.0,0.0,0.24457289278507233,0.0,0.1874503493309021,0.1874503493309021,1.0,0.0,0.0,0.0
5DJqsjAYlmk,black and white monochrome photography,https://unsplash.com/photos/grayscale-photo-of-dock-5DJqsjAYlmk,0.2784494161605835,0.00829686876386404,0.00034944459912367165,0.5692717432975769,0.0019972482696175575,0.30995556712150574,0.30983415246009827,0.9702972173690796,0.029702790081501007,0.0,0.0
YE6iUShVcps,black and white monochrome photography,https://unsplash.com/photos/grayscale-photograph-of-petaled-flower-YE6iUShVcps,0.2879824936389923,0.0,0.0,0.10668759793043137,0.0,0.23810918629169464,0.23810918629169464,1.0,0.0,0.0,0.0
wgMzQo-v474,black and white monochrome photography,https://unsplash.com/photos/grayscale-photography-of-concrete-stairs-wgMzQo-v474,0.26163536310195923,0.15765662491321564,0.031408052891492844,0.5598199367523193,0.047336965799331665,0.28305983543395996,0.2816295325756073,0.9964500665664673,0.00040923641063272953,0.003140717977657914,0.0
91QHQ3GGh9I,black and white monochrome photography,https://unsplash.com/photos/grayscale-photo-of-bare-tree-on-calm-body-of-water-91QHQ3GGh9I,0.29839572310447693,0.0,0.0,0.5585355162620544,0.0,0.2832534611225128,0.2832534611225128,1.0,0.0,0.0,0.0
m5fHSKYSflI,black and white monochrome photography,https://unsplash.com/photos/silhouette-of-mountains-m5fHSKYSflI,0.2801327705383301,0.0,0.0,0.3964632451534271,0.0,0.2285751849412918,0.2285751849412918,1.0,0.0,0.0,0.0
DjQx057gBC0,black and white monochrome photography,https://unsplash.com/photos/grayscale-photography-of-swisscheese-leaf-DjQx057gBC0,0.26661041378974915,0.0,0.0,0.6690765023231506,0.0,0.32978007197380066,0.32978007197380066,1.0,0.0,0.0,0.0
zTNBumJSOto,black and white monochrome photography,https://unsplash.com/photos/grayscale-photo-of-bare-tree-zTNBumJSOto,0.3002775013446808,0.0,0.0,0.2571122348308563,0.0,0.17786549031734467,0.17786549031734467,1.0,0.0,0.0,0.0
rqWoB4LFgmc,black and white monochrome photography,https://unsplash.com/photos/aerial-black-sand-beach-with-wave-rqWoB4LFgmc,0.27195724844932556,0.0,0.0,0.13537439703941345,0.0,0.14693938195705414,0.14693938195705414,1.0,0.0,0.0,0.0
h7B7Ez2yfQc,black and white monochrome photography,https://unsplash.com/photos/grayscale-photo-of-mountain-covered-with-clouds-h7B7Ez2yfQc,0.2806381583213806,0.0,0.0,0.2066195011138916,0.0,0.18469099700450897,0.18469099700450897,1.0,0.0,0.0,0.0
yYABaqHw9WQ,black and white monochrome photography,https://unsplash.com/photos/grayscale-photography-of-lake-near-pine-trees-yYABaqHw9WQ,0.2871537208557129,0.0,0.0,0.622015118598938,0.0,0.3536052107810974,0.3536052107810974,1.0,0.0,0.0,0.0
qJmfb_wWXhw,black and white monochrome photography,https://unsplash.com/photos/grayscale-photo-of-person-on-road-between-trees-qJmfb_wWXhw,0.30522704124450684,0.0,0.0,0.38401514291763306,0.0,0.31004565954208374,0.31004565954208374,1.0,0.0,0.0,0.0
Ylv6S96K1Gk,black and white monochrome photography,https://unsplash.com/photos/a-woman-with-her-eyes-closed-in-the-dark-Ylv6S96K1Gk,0.27938342094421387,0.0,0.0,0.044178448617458344,0.0,0.1203749030828476,0.1203749030828476,1.0,0.0,0.0,0.0
NKeiqXQ45_4,black and white monochrome photography,https://unsplash.com/photos/leafless-tree-on-body-of-water-NKeiqXQ45_4,0.28448110818862915,0.0,0.0,0.615282416343689,0.0,0.26244810223579407,0.26244810223579407,1.0,0.0,0.0,0.0
ttAxbqKiDjI,black and white monochrome photography,https://unsplash.com/photos/a-close-up-of-a-flower-ttAxbqKiDjI,0.29918262362480164,0.0,0.0,0.07099369913339615,0.0,0.11580710858106613,0.11580710858106613,1.0,0.0,0.0,0.0
s97-KYat9sA,black and white monochrome photography,https://unsplash.com/photos/grayscale-photo-of-woman-s97-KYat9sA,0.2644256353378296,0.0,0.0,0.13582515716552734,0.0,0.23333443701267242,0.23333443701267242,1.0,0.0,0.0,0.0
vV2A5OHUqsU,black and white monochrome photography,https://unsplash.com/photos/white-row-boats-inline-on-body-of-water-during-foggy-weather-vV2A5OHUqsU,0.2948448956012726,0.0,0.0,0.759827733039856,0.0,0.13770779967308044,0.13770779967308044,1.0,0.0,0.0,0.0
hoKgCD9kfTE,black and white monochrome photography,https://unsplash.com/photos/boat-on-calm-water-near-mountain-during-daytime-hoKgCD9kfTE,0.28951123356819153,0.0,0.0,0.6107296347618103,0.0,0.29657429456710815,0.29657429456710815,1.0,0.0,0.0,0.0
